mouse_id,treatment_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
4541,BCM,20.71032490084854,1016.6656184486374,15.558029314542004,499.81331236897273,1.4435034865328045
4541,BCM_60min,21.877991530387465,1037.1502423263328,18.818293951269037,582.7568659127625,1.2501420987577676
4541,MSN,32.932795157264295,1324.0615053050399,20.188439017807188,790.1327917771883,1.7911691571080526
4541,MSN_60min,16.9759643395823,1187.2893504622405,12.20902268057417,814.5804418297515,1.4459046925195345
4541,PGE2,26.06364134055428,1236.765963678969,15.174097139006028,720.1701816051552,1.8854179209269057
4541,PGE2_60min,22.561881400975274,1376.0338009603615,15.85881067444571,875.9431315318708,1.4273495864778774
4543,BCM,27.899297323375936,1179.5375391595549,21.70852160459935,661.6772172410068,1.322213694710015
4543,BCM_60min,22.577751284779826,950.9826220291336,18.475267534464404,512.7560269188176,1.2999537869473028
4543,MSN,28.852090481980227,1303.3477069512546,18.505767893518883,867.3932794923566,1.6492818236502815
4543,MSN_60min,29.700537125665118,1118.0322828057454,19.91544978215003,669.1339422674662,1.5595098211278184
4543,PGE2,24.761322600907345,1306.9141224489797,15.07663165651756,874.6803265306122,1.718599181914612
4543,PGE2_60min,28.86823739650993,1310.731,19.58950126071839,843.5745333333333,1.507602513968929
4544,BCM,32.121994482448876,1109.5940435738557,26.392378242288252,552.8708774735159,1.3114755033641585
4544,BCM_60min,30.820551618846775,1039.7565336062778,24.629171190089576,534.1195496417605,1.3479046882385473
4544,MSN,29.204455728643648,1560.9412711182622,16.686840392229648,1054.3728881737732,1.7879939888037262
4544,MSN_60min,31.15109825720349,1263.1686565558782,20.75516331041888,729.4990857265784,1.6196547882790229
4544,PGE2,22.32092940162531,1307.274432379072,12.664867055455034,926.0720631786772,1.760966691144403
4544,PGE2_60min,31.939192038831237,1448.4375545851528,22.405407619477316,985.9917030567685,1.484831263036408
