mouse_id,treatment_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
4541,BCM,20.71032490084854,1016.6656184486374,14.555371317443026,813.987211740042,1.6052223020876142
4541,BCM_60min,21.877991530387465,1037.1502423263328,17.599554071617366,948.853135555882,1.382204844787674
4541,MSN,32.932795157264295,1324.0615053050399,18.398814696468076,1287.2322612732096,2.017049247769191
4541,MSN_60min,16.9759643395823,1187.2893504622405,11.332320961427886,1348.552707407852,1.5957687309401212
4541,PGE2,26.06364134055428,1236.765963678969,13.796680586948098,1179.8785881663737,2.141596335412283
4541,PGE2_60min,22.561881400975274,1376.0338009603615,14.715697098958275,1418.784766029564,1.571758414657098
4543,BCM,27.899297323375936,1179.5375391595549,20.13322221074573,1093.8100896618776,1.4611195590160733
4543,BCM_60min,22.577751284779826,950.9826220291336,17.20473076613564,843.6023511372349,1.4477647426165834
4543,MSN,28.852090481980227,1303.3477069512546,16.917112437629985,1434.1954139025095,1.840395460987861
4543,MSN_60min,29.700537125665118,1118.0322828057454,18.271148375885584,1090.5610793473713,1.742444517175893
4543,PGE2,24.761322600907345,1306.9141224489797,13.727694529653329,1455.2128979591837,1.915558958079649
4543,PGE2_60min,28.86823739650993,1310.731,18.12889610425257,1380.7066,1.6497789935765763
4544,BCM,32.121994482448876,1109.5940435738557,24.593284939449855,902.5064961023386,1.460341654269187
4544,BCM_60min,30.820551618846775,1039.7565336062778,22.93910122855299,853.0060047765268,1.4915149786422726
4544,MSN,29.204455728643648,1560.9412711182622,15.056993668200064,1749.8322606596944,2.00885906433852
4544,MSN_60min,31.15109825720349,1263.1686565558782,19.167255757033757,1185.8842637409916,1.809993478886389
4544,PGE2,22.32092940162531,1307.274432379072,11.469504634466347,1531.33070088845,1.9608866444609496
4544,PGE2_60min,31.939192038831237,1448.4375545851528,20.747447402722653,1628.3036026200873,1.636030191662889
