experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
RY20240608,4543,MSN,6,26.49670161653455,1186.0535236396074,14.454406465332852,1532.750223015165,1.8371621056667622
RY20240608,4543,MSN,7,51.64094650561946,1101.6389684813753,28.80894969934991,1071.8825214899714,1.9286099508850891
RY20240610,4543,PGE2,1,30.877956940770982,1710.253488372093,16.052192046040584,2011.8418604651163,1.9103420221084584
RY20240610,4543,PGE2,2,25.611480487668423,1359.5955240174671,13.851850565692553,1454.5856986899564,2.0089772944477167
RY20240610,4543,PGE2,3,22.974776695281577,1097.8955916473317,13.465773238471868,1318.852668213457,1.7630238966923326
RY20240610,4543,PGE2,4,23.994942502312306,1167.5165794066318,13.276958405103395,1303.5122164048867,1.9385331534971044
RY20240610,4543,PGE2,5,26.24645163448396,1633.4796195652175,14.392540474440814,1785.78125,1.9274116893842659
RY20240610,4543,PGE2,6,22.20330399522306,1154.6559428060768,12.857279289527032,1285.3217158176944,1.8507994182839178
RY20240610,4543,dmPGE2,1,25.06211415789428,1506.6538461538462,13.314916975615965,2081.5384615384614,1.9422513215868111
RY20240610,4543,dmPGE2,2,24.173637854008838,1273.2228349010704,14.489759318400548,1490.1310411936427,1.6698972454547458
RY20240610,4543,dmPGE2,3,33.89912659346367,1354.1171088746569,18.699630102535444,1590.644098810613,1.8783363561241082
RY20240610,4543,dmPGE2,4,27.251845840207302,1504.437776882803,14.587904794342206,1663.6975432944018,1.9809058529284078
RY20240610,4543,dmPGE2,5,28.384130833755393,1605.7673076923077,14.431624390799058,1707.9615384615386,2.06143272517141
RY20240611,4541,BCM_60min,1,17.114739220895537,1025.3768844221106,11.548978861948074,1234.179648241206,1.5241332355488404
RY20240611,4541,BCM_60min,2,28.42919204043803,902.8580481622307,20.745958101969897,627.923531896916,1.7059018877485086
RY20240611,4541,BCM_60min,3,26.281009902814617,1033.7744783306582,22.784754557974505,826.1420545746388,1.310393930849818
