,experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,area_nuclei,intensity_mean_cyto,area_cyto,nuclei_cyto_ratio
0,RY20240607,4541,BCM,1,23.084674377873483,277.5906127770535,18.244725345739564,663.3181225554107,1.2658221421252915
1,RY20240607,4541,BCM,2,19.472733666905288,235.55595026642985,18.681109307740762,635.8596802841919,1.0732637914245966
2,RY20240607,4541,BCM,3,16.287964664617476,258.05847953216374,15.316726172135937,705.0672514619883,1.1181177701097305
3,RY20240607,4541,BCM,4,17.615791424102923,246.1012658227848,16.769119908223676,601.620253164557,1.2426943104950041
4,RY20240607,4541,BCM,5,21.025103883211276,247.78181818181818,18.16543855467611,574.0479338842975,1.1759736212281247
5,RY20240607,4541,BCM,6,10.4093560823556,238.4262023217247,10.121019856037439,627.8175787728027,1.0895350915891078
6,RY20240607,4541,MSN,1,22.935786132195165,294.89285714285717,15.950720618332603,728.3357142857143,1.6838231151440062
7,RY20240607,4541,MSN,2,19.911732930235747,276.0243902439024,14.770595485262755,575.7512195121951,1.5371815852991595
8,RY20240607,4541,MSN,3,28.186998728319068,255.3477859778598,20.803379528265708,621.7915129151291,1.4382582906992742
9,RY20240607,4541,MSN,4,39.95058653479094,242.30298273155415,29.949892918416992,535.0784929356358,1.405317386440956
10,RY20240607,4541,MSN,5,30.162896866299164,291.21019108280257,23.20947993340291,745.78025477707,1.6763138676454894
11,RY20240607,4541,MSN,6,26.904738329404168,251.85535714285714,19.50406648321077,525.8571428571429,1.6510013143813622
12,RY20240607,4541,PGE2,1,21.044522988551353,252.27972027972027,16.332820207557894,594.7937062937064,1.3187883180851812
13,RY20240607,4541,PGE2,2,17.67510742363346,266.67427385892114,11.475513511669678,613.3215767634855,1.7145454486672576
14,RY20240607,4541,PGE2,3,25.087458675704806,288.40722891566264,17.307663978636263,635.0385542168675,1.5087647596199092
15,RY20240607,4541,PGE2,4,36.93182846079481,275.4255319148936,25.89304811802052,743.177304964539,1.7658919045535877
16,RY20240607,4541,PGE2,5,22.303012333819677,226.75407779171894,17.278260854249318,558.3939774153074,1.3324904568752243
17,RY20240607,4541,PGE2,6,28.433552170699496,258.6356132075472,19.131194288719374,646.2287735849056,1.5461282045597549
18,RY20240608,4543,BCM,1,17.547493053304738,241.17241379310346,18.0466046327147,609.1258620689655,0.9510960687359635
19,RY20240608,4543,BCM,2,25.136750322397873,229.21428571428572,23.319626700574037,603.9591836734694,1.0686581019791983
20,RY20240608,4543,BCM,3,28.49708969551019,254.48076923076923,23.17402880659852,670.3910256410256,1.2033691103013
21,RY20240608,4543,BCM,4,27.98642479942365,236.20772946859904,24.10307778543365,635.1461352657005,1.1831562526403325
22,RY20240608,4543,BCM,5,20.22695144256338,251.7596153846154,19.720633361775143,570.9038461538462,1.1095617136960176
23,RY20240608,4543,BCM,6,34.90624909726333,288.76020408163265,25.762068043063795,707.0561224489796,1.4727631358618662
24,RY20240608,4543,MSN,1,28.848306600916374,274.10505450941525,21.07212270069701,665.4687809712586,1.406782543691502
25,RY20240608,4543,MSN,2,25.6548058539629,247.0702210663199,18.759898873004865,687.5292587776333,1.3632765777138869
26,RY20240608,4543,MSN,3,15.894248827166265,267.36690647482015,12.249824366384862,571.6187050359712,1.5787793137366712
27,RY20240608,4543,MSN,4,22.252053013952548,256.08233532934133,16.83650314901582,628.9296407185628,1.4237739957026883
28,RY20240608,4543,MSN,5,12.89707384268312,288.92763157894734,9.95373578237578,773.4736842105264,1.9028041471801902
29,RY20240608,4543,MSN,6,22.6401740229319,245.3920634920635,15.728060670469015,667.5301587301587,1.406714155224753
30,RY20240608,4543,MSN,7,32.362098902991384,246.43362831858408,24.708584996945827,686.9203539823009,1.807347598687893
31,RY20240610,4543,PGE2,1,27.972584325342606,291.52884615384613,19.60594857751559,735.3461538461538,1.417619367205919
32,RY20240610,4543,PGE2,2,23.357980930230074,260.87602339181285,16.692184638968335,699.140350877193,1.4639332438892285
33,RY20240610,4543,PGE2,3,17.54426113443469,236.1841155234657,13.208971090278578,635.9747292418773,1.278448216309741
34,RY20240610,4543,PGE2,4,20.984539713927493,255.99667221297838,14.731290724137782,629.8169717138103,1.4791251563229633
35,RY20240610,4543,PGE2,5,20.409517929525002,284.8139534883721,15.513117994427933,762.0211416490487,1.3687848573083692
36,RY20240610,4543,PGE2,6,19.645663865806636,245.37561779242174,14.007169377936366,646.0774299835256,1.4365910832822315
37,RY20240610,4543,dmPGE2,1,14.331843739664397,251.4257425742574,10.794618921249908,752.6501650165017,1.5243716114201205
38,RY20240610,4543,dmPGE2,2,25.8001271108314,247.1553480475382,20.72712347908214,653.7453310696095,1.2258149345421898
39,RY20240610,4543,dmPGE2,3,28.753946092734953,274.7580919931857,21.200040816568993,667.3441226575809,1.3455543594955526
40,RY20240610,4543,dmPGE2,4,28.417870531794623,250.08681135225376,21.144208752004452,644.3080133555926,1.3621397012679888
41,RY20240610,4543,dmPGE2,5,26.187579528739054,281.5309523809524,19.573101830340565,691.5785714285714,1.3771214340627764
42,RY20240611,4541,BCM_60min,1,24.44422810396617,247.32445520581115,22.954794196416476,592.3825665859564,1.0980173672495834
43,RY20240611,4541,BCM_60min,2,27.51443534477116,249.55308219178082,25.510175107480727,612.2020547945206,1.10022179502959
44,RY20240611,4541,BCM_60min,3,23.502632085647846,264.17857142857144,20.67362236423743,624.5753968253969,1.1640626268133492
45,RY20240611,4541,BCM_60min,4,40.559421574291974,260.28985507246375,31.752141440476198,567.6642512077294,1.2970209660869154
