,experiment_id,mouse_id,treatment_id,replica_id,intensity_mean,area_filled
0,RY20240607,4541,BCM,1,22.0462944000103,1105.3620689655172
1,RY20240607,4541,BCM,2,18.625786605141997,1095.475435816165
2,RY20240607,4541,BCM,3,15.034234768252489,1495.3119266055046
3,RY20240607,4541,BCM,4,17.584209143818907,1103.004975124378
4,RY20240607,4541,BCM,5,18.95169813693362,1123.1694352159468
5,RY20240607,4541,BCM,6,8.990230235635305,1154.5415224913495
6,RY20240607,4541,MSN,1,22.231966145810006,999.7348066298342
7,RY20240607,4541,MSN,2,19.635222581013963,828.9195979899497
8,RY20240607,4541,MSN,3,24.024877186782224,838.4320695102685
9,RY20240607,4541,MSN,4,34.45708482064128,864.818053596615
10,RY20240607,4541,MSN,5,32.09415356302086,1028.6735294117648
11,RY20240607,4541,MSN,6,23.330557288942394,950.8110882956879
12,RY20240607,4541,PGE2,1,19.006295974885433,1065.195171026157
13,RY20240607,4541,PGE2,2,15.703237786186712,741.6192236598891
14,RY20240607,4541,PGE2,3,21.238019703518315,952.435318275154
15,RY20240607,4541,PGE2,4,35.539943024231114,1208.8743169398906
16,RY20240607,4541,PGE2,5,18.856538362282294,1033.4074074074074
17,RY20240607,4541,PGE2,6,22.578641347759994,1061.1149171270717
18,RY20240608,4543,BCM,1,17.162865216010495,1023.077399380805
19,RY20240608,4543,BCM,2,19.83358426329541,843.3892908827786
20,RY20240608,4543,BCM,3,25.204368285268636,878.0253292806484
21,RY20240608,4543,BCM,4,23.087737009881838,986.1433789954337
22,RY20240608,4543,BCM,5,20.338555492376607,1003.083870967742
23,RY20240608,4543,BCM,6,34.315154243513796,908.242718446602
24,RY20240608,4543,MSN,1,25.628700941667592,875.8314332247558
25,RY20240608,4543,MSN,2,22.344656871583982,1004.544289044289
26,RY20240608,4543,MSN,3,14.771331259247955,811.3401639344262
27,RY20240608,4543,MSN,4,19.01563957307988,1041.0492537313432
28,RY20240608,4543,MSN,5,21.830411936683316,740.8457142857143
29,RY20240608,4543,MSN,6,17.50593094028331,789.7432432432432
30,RY20240608,4543,MSN,7,41.28656069272847,944.1515151515151
31,RY20240610,4543,PGE2,1,26.658027155793828,1003.4172661870504
32,RY20240610,4543,PGE2,2,19.900462145314062,1035.8009900990098
33,RY20240610,4543,PGE2,3,13.391234888376843,743.5119236883943
34,RY20240610,4543,PGE2,4,17.708096309932994,941.949593495935
35,RY20240610,4543,PGE2,5,20.405944529545508,902.3395522388059
36,RY20240610,4543,PGE2,6,17.25610500264308,951.9162393162393
37,RY20240610,4543,dmPGE2,1,17.759102236292634,1003.2307692307693
38,RY20240610,4543,dmPGE2,2,21.83633656602917,877.4096969696969
39,RY20240610,4543,dmPGE2,3,26.336474905686547,827.8571428571429
40,RY20240610,4543,dmPGE2,4,23.754026600948517,867.2785234899329
41,RY20240610,4543,dmPGE2,5,23.60830602188443,873.1384778012686
42,RY20240611,4541,BCM_60min,1,21.729815215213538,1218.118811881188
43,RY20240611,4541,BCM_60min,2,25.198707117492702,1276.7020484171321
44,RY20240611,4541,BCM_60min,3,20.710950997268032,1421.0555555555557
45,RY20240611,4541,BCM_60min,4,36.728295009573195,1149.035040431267
46,RY20240611,4544,BCM,1,28.133468527301233,1551.5551020408163
47,RY20240611,4544,BCM,2,30.345850298314012,1268.458003169572
48,RY20240611,4544,BCM,3,27.98939096237895,1150.646288209607
49,RY20240611,4544,BCM,4,14.670212703124847,855.8290155440415
50,RY20240611,4544,BCM,5,23.2141090571203,1184.321212121212
51,RY20240611,4544,MSN,1,28.671897082707506,977.7772925764192
52,RY20240611,4544,MSN,2,19.36750681656204,1212.0877192982457
53,RY20240611,4544,MSN,3,23.610081584963776,1142.0264900662253
54,RY20240611,4544,MSN,4,23.618482536459332,1125.2964169381107
55,RY20240611,4544,MSN,5,25.073619078058424,1088.912579957356
56,RY20240611,4544,PGE2,1,16.589119225520083,903.2569316081331
57,RY20240611,4544,PGE2,2,24.63479230044548,817.268558951965
58,RY20240611,4544,PGE2,3,15.617311973749342,1073.7829341317365
59,RY20240611,4544,PGE2,4,16.807203384760562,831.2722602739726
60,RY20240611,4544,PGE2,5,6.415616120709556,650.5366379310345
61,RY20240612,4541,BCM_60min,5,17.62409568561334,886.6290877796902
62,RY20240612,4541,BCM_60min,6,11.669347171532248,997.62292051756
63,RY20240612,4541,MSN_60min,1,14.740074336767258,828.2689726381002
64,RY20240612,4541,MSN_60min,2,11.200574049210646,897.3452211126961
65,RY20240612,4541,MSN_60min,3,14.57139787091868,698.5175332527207
66,RY20240612,4541,MSN_60min,4,15.692413621837167,1141.624203821656
67,RY20240612,4541,MSN_60min,5,18.035311185931242,737.1789164216716
68,RY20240612,4541,MSN_60min,6,12.86699930766217,842.8496905393457
69,RY20240612,4541,PGE2_60min,1,14.636513087365056,844.8073754413496
70,RY20240612,4541,PGE2_60min,2,32.859000272019124,940.4463414634147
71,RY20240612,4541,PGE2_60min,3,31.697382930841567,1037.1389207807117
72,RY20240612,4541,PGE2_60min,4,16.685351544106005,1014.472
73,RY20240612,4541,PGE2_60min,5,20.549759645979854,804.7142857142857
74,RY20240612,4543,BCM_60min,1,29.72744378968107,998.1815408085431
75,RY20240612,4543,BCM_60min,2,26.631526415584236,1174.2572706935123
76,RY20240612,4543,BCM_60min,3,16.329291954496263,1297.4387947269304
77,RY20240613,4543,BCM_60min,4,31.121412876977292,1359.2510822510822
78,RY20240613,4543,BCM_60min,5,20.754134260087348,1394.0802469135801
79,RY20240613,4543,BCM_60min,6,15.546758805008965,1194.5814307458143
80,RY20240613,4543,MSN_60min,1,27.47889276689535,1726.3758442590386
81,RY20240613,4543,MSN_60min,2,25.2505757272998,824.0870253164557
82,RY20240613,4543,MSN_60min,3,12.10091285336626,848.5034403669724
83,RY20240613,4543,MSN_60min,4,9.825544961491042,802.3388724035608
84,RY20240613,4543,MSN_60min,5,16.897615575294488,922.8562351072279
85,RY20240613,4543,MSN_60min,6,26.716482958074323,932.9428223844283
86,RY20240614,4543,PGE2_60min,1,29.27399319271555,1633.2669623059867
87,RY20240614,4543,PGE2_60min,2,22.037520528272104,1496.539654408507
88,RY20240614,4543,PGE2_60min,3,23.996566566274915,790.981974248927
89,RY20240614,4543,PGE2_60min,4,29.910368745346148,911.6746987951807
90,RY20240614,4543,PGE2_60min,5,41.24343779172463,1211.0629235237172
91,RY20240614,4543,dmPGE2_60min,1,43.474484674028446,1071.1425908667288
92,RY20240614,4543,dmPGE2_60min,2,37.69698642033797,1001.525
93,RY20240614,4543,dmPGE2_60min,3,30.892401876294283,889.4831121833535
94,RY20240614,4543,dmPGE2_60min,4,37.14656931833591,1016.860103626943
95,RY20240614,4543,dmPGE2_60min,5,30.555044713272725,983.1431411530815
96,RY20240618,4544,BCM_60min,1,27.584109880727365,1759.0550458715597
97,RY20240618,4544,BCM_60min,2,27.487367572441492,1138.694520547945
98,RY20240618,4544,BCM_60min,3,17.91246940301091,1576.080495356037
99,RY20240618,4544,BCM_60min,4,27.83124623340508,939.5
100,RY20240618,4544,BCM_60min,5,29.74260894654277,1449.150159744409
101,RY20240618,4544,BCM_60min,6,27.25713435033697,879.0023130300694
102,RY20240618,4544,MSN_60min,1,15.144811767316847,848.1725790987535
103,RY20240618,4544,MSN_60min,2,29.681005204425137,877.0887021475256
104,RY20240619,4544,MSN_60min,3,21.260553870311718,1113.1868556701031
105,RY20240619,4544,MSN_60min,4,33.42021448864117,942.8591248665955
106,RY20240619,4544,MSN_60min,5,32.39355197071044,1004.4909090909091
107,RY20240619,4544,MSN_60min,6,22.51612292054408,1016.3702830188679
108,RY20240619,4544,PGE2_60min,1,39.949951824250235,1045.2667560321715
109,RY20240619,4544,PGE2_60min,2,30.450087376497684,936.6515625
110,RY20240619,4544,PGE2_60min,3,30.682754074699776,906.4258783204799
111,RY20240619,4544,PGE2_60min,4,25.26763192319663,967.9306608884074
112,RY20240619,4544,PGE2_60min,5,32.678753452941095,939.8522860492379
113,RY20240619,4544,PGE2_60min,6,21.991589750865373,862.2579688658266
